id;compte_src;compte_benef;montant;code
1;yesterday confute;swiftly spectate;219.7;until ouch
2;afore;soulful;1426.27;print place hm
3;whether debut er;orient striking;10604.5;joshingly posh
4;westernize how hence;from;16679.62;dream zowie
5;thankfully;tarragon now;1632.88;upward bran jaggedly
6;tough ouch shakily;tank given meh;12338.75;amongst after as
7;before;honored gah yuck;23795.44;absent
8;er ick vice;poorly throughout;20948.48;corral dereference
9;ack;fun now underneath;6531.58;puritan oh
10;ick than if;extremely meanwhile;8844.18;friendly because never
